Age_GTS2004	d18O_adj	d18O_adj_5pt_average	temp_C
0.0525	3.78	3.83	2.084646
0.05269	3.88	3.8425	2.044322875
0.05299	3.9	3.8475	2.028205875
0.05307	NA	3.86	1.987944
0.05326	3.83	3.8575	1.995992875
0.05326	3.83	3.81	2.149254
0.05329	3.87	3.808	2.15572096
0.05332	3.71	3.818	2.12339736
0.05359	3.8	3.82	2.116936
0.05389	3.88	3.802	2.17512856
0.05407	3.84	3.798	2.18807256
0.05418	3.78	3.8	2.1816
0.05448	3.69	3.702	2.50007256
0.05478	3.81	3.71	2.473974
0.05491	3.39	3.73	2.408806
0.05503	3.88	3.764	2.29827744
0.05503	3.88	3.7525	2.335625875
0.05506	3.86	3.875	1.9396875
0.05507	NA	3.86	1.987944
0.05508	3.88	3.8575	1.995992875
0.05537	3.82	3.86	1.987944
0.05591	3.87	3.852	2.01370656
0.05591	3.87	3.845	2.0362635
0.05597	3.82	3.74	2.376264
0.05607	NA	3.715	2.4576715
0.05607	3.4	3.725	2.4250875
0.05627	3.77	3.6925	2.531087875
0.05632	3.91	3.718	2.44789336
0.05652	3.69	3.794	2.20102104
0.05657	3.82	3.682	2.56539736
0.05686	3.78	3.66	2.637384
0.05707	3.21	3.674	2.59155864
0.05718	3.8	3.662	2.63083416
0.05767	3.76	3.65	2.67015
0.05767	3.76	3.76	2.311264
0.05802	3.72	3.6875	2.547421875
0.05807	NA	3.7025	2.498440875
0.05807	3.51	3.7	2.5066
0.05817	3.82	3.685	2.5555915
0.0585	3.75	3.685	2.5555915
0.05884	3.66	3.745	2.3600035
0.05908	NA	3.7275	2.416945875
0.05944	3.75	3.7275	2.416945875
0.05944	3.75	3.775	2.2625875
0.0599	3.75	3.762	2.30477016
0.06008	3.85	3.765	2.2950315
0.06027	3.71	3.715	2.4576715
0.06108	NA	3.78	2.246376
0.06108	3.55	3.82	2.116936
0.06121	4.01	3.8425	2.044322875
0.06121	4.01	3.832	2.07819136
0.06155	3.8	3.888	1.89791616
0.06188	3.79	3.806	2.16218904
0.06191	3.83	3.818	2.12339736
0.06208	3.6	3.83	2.084646
0.06208	4.07	3.858	1.99438296
0.06221	3.86	3.878	1.93004376
0.06253	3.93	3.944	1.71851904
0.06253	3.93	3.898	1.86581656
0.06254	3.93	3.9075	1.835347875
0.06287	3.84	3.895	1.8754435
0.06308	NA	3.885	1.9075515
0.06324	3.88	3.8475	2.028205875
0.06363	3.89	3.815	2.1330915
0.06382	3.78	3.806	2.16218904
0.064	3.71	3.74	2.376264
0.06403	3.77	3.61	2.801494
0.06408	3.55	3.6	2.8344
0.06408	3.24	3.604	2.82123424
0.06429	3.73	3.5625	2.958046875
0.06429	3.73	3.566666667	2.94428888778845
0.06508	NA	3.883333333	1.91290555662645
0.06508	NA	4.013333333	1.49762488994764
0.06508	4.19	4.056666667	1.36024955450084
0.0653	4.12	4.0125	1.500271875
0.06562	3.86	3.944	1.71851904
0.06602	3.88	3.84	2.052384
0.06605	3.67	3.788	2.22045216
0.06605	3.67	3.802	2.17512856
0.06606	3.86	3.814	2.13632344
0.06683	3.93	3.85	2.02015
0.06689	3.94	3.91	1.827334
0.06709	NA	3.896666667	1.87009488781925
0.06709	NA	3.85	2.02015
0.06723	3.82	3.933333333	1.75262222328845
0.06762	3.79	3.9975	1.547950875
0.06783	4.19	3.958	1.67380696
0.06783	4.19	3.962	1.66104216
0.06802	3.8	3.968	1.64190336
0.06806	3.84	3.828	2.09110176
0.06842	3.82	3.778	2.25285976
0.06855	3.49	3.7725	2.270695875
0.06882	3.94	3.6375	2.711146875
0.0691	NA	3.6325	2.727557875
0.0691	3.3	3.695	2.5229235
0.06921	3.8	3.6375	2.711146875
0.06954	3.74	3.668	2.61119136
0.06961	3.71	3.76	2.311264
0.07001	3.79	3.746666667	2.35458488780525
0.07009	NA	3.75	2.34375
0.07009	NA	3.67	2.604646
0.07009	3.75	3.676666667	2.58283622113204
0.07019	3.47	3.6875	2.547421875
0.07038	3.81	3.698	2.51312856
0.07068	3.72	3.696	2.51965824
0.07081	3.74	3.742	2.36975896
0.07081	3.74	3.714	2.46093144
0.07098	3.7	3.734	2.39578584
0.07128	3.67	3.728	2.41531776
0.07158	3.82	3.714	2.46093144
0.07169	3.71	3.7175	2.449522875
0.07188	3.67	3.6925	2.531087875
0.07209	NA	3.5675	2.941537875
0.07209	3.57	3.5175	3.106942875
0.07209	3.32	3.51	3.131814
0.07209	3.51	3.524	3.08540064
0.07218	3.64	3.548	3.00596256
0.07248	3.58	3.596	2.84757024
0.07274	3.69	3.612	2.79491616
0.07278	3.56	3.564	2.95309344
0.07308	3.59	3.546	3.01257624
0.07338	3.4	3.516	3.11191584
0.07368	3.49	3.558	2.97291096
0.07398	3.54	3.594	2.85415704
0.074	3.77	3.668	2.61119136
0.074	3.77	3.7125	2.465821875
0.074	3.77	3.64	2.702944
0.07409	NA	3.5675	2.941537875
0.07409	3.25	3.5375	3.040696875
0.07429	3.48	3.5075	3.140107875
0.07439	3.65	3.536	3.04566144
0.07439	3.65	3.586	2.88051544
0.07439	3.65	3.578	2.90689176
0.07459	3.5	3.536	3.04566144
0.07477	3.44	3.494	3.18492504
0.07477	3.44	3.468	3.27138336
0.07477	3.44	3.384	3.55200384
0.07489	3.52	3.22	4.105576
0.07489	3.08	3.216	4.11917184
0.0751	2.62	3.204	4.15998624
0.07519	3.42	3.204	4.15998624
0.07549	3.38	3.256	3.98341504
0.07579	3.52	3.434	3.38472984
0.07581	3.34	3.424	3.41812864
0.07586	3.51	3.424	3.41812864
0.07609	3.37	3.388	3.53859616
0.0761	3.38	3.388	3.53859616
0.0763	3.34	3.354	3.65270424
0.0763	3.34	3.384	3.55200384
0.0763	3.34	3.446	3.34468824
0.0764	3.52	3.466	3.27804184
0.0765	3.69	3.472	3.25806976
0.0767	3.44	3.49	3.198214
0.077	3.37	3.462	3.29136216
0.0773	3.43	3.386	3.54529944
0.0776	3.38	3.36	3.632544
0.07782	3.31	3.348	3.67287456
0.07782	3.31	3.342	3.69305496
0.07782	3.31	3.3325	3.725027875
0.0779	3.4	3.34	3.699784
0.0781	NA	3.355	3.6493435
0.0781	NA	3.465	3.2813715
0.0781	NA	3.355	3.6493435
0.0781	3.53	3.346666667	3.67735822110124
0.0782	3.18	3.305	3.8177235
0.0785	3.33	3.324	3.75365664
0.07881	3.18	3.212	4.13277216
0.07884	3.4	3.204	4.15998624
0.0791	2.97	3.19	4.207654
0.07923	3.14	3.206	4.15318104
0.07935	3.26	3.178	4.24855576
0.07935	3.26	3.184	4.22809984
0.07935	3.26	3.156	4.32364704
0.07953	3	3.078	4.59097176
0.07983	3	3.038	4.72872216
0.0801	2.87	2.978	4.93618776
0.0801	3.06	2.96	4.998624
0.08013	2.96	2.968	4.97086336
0.08043	2.91	2.992	4.88768896
0.08073	3.04	2.974	4.95005464
0.08083	2.99	3.012	4.81850016
0.08083	2.97	3.048	4.69424256
0.08083	3.15	3.05	4.68735
0.08104	3.09	3.07	4.618486
0.0811	NA	3.12	4.446816
0.0811	NA	3.185	4.2246915
0.0811	NA	3.435	3.3813915
0.0811	3.28	3.273333333	3.92472622335004
0.0813	3.59	3.2125	4.131071875
0.08135	2.95	3.252	3.99697056
0.08182	3.03	3.248	4.01053056
0.0823	3.41	3.176	4.25537664
0.08243	3.26	3.232	4.06481536
0.08256	3.23	3.272	3.92923776
0.08257	3.23	3.242	4.03087896
0.08257	3.23	3.318	3.77387736
0.08277	3.26	3.34	3.699784
0.08311	3.64	3.376666667	3.57659622110405
0.08311	NA	3.45	3.33135
0.08311	NA	3.345	3.6829635
0.08311	NA	3.095	4.5325635
0.08311	3.05	3.176666667	4.25310288775204
0.08311	3.14	3.19	4.207654
0.08324	3.34	3.202	4.16679256
0.08371	3.23	3.226	4.08519064
0.08411	3.25	3.27	3.936006
0.08418	3.17	3.2525	3.995275875
0.08465	3.36	3.26	3.969864
0.08511	NA	3.35	3.66615
0.08511	NA	3.44	3.364704
0.08511	3.52	3.52	3.098656
0.08511	NA	3.52	3.098656
0.08511	NA	3.52	3.098656
0.08511	NA	3.41	3.464934
